City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Siocon,PH,7.7061,122.1353,82.22,73,44,4.12,scattered clouds
270,Dong Hoi,VN,17.4833,106.6,68.43,83,100,5.32,overcast clouds
271,Talara,PE,-4.5772,-81.2719,70.56,78,75,6.91,broken clouds
272,Ribeira Brava,PT,32.65,-17.0667,66.7,89,100,8.34,overcast clouds
273,Prainha,BR,-1.8,-53.48,78.31,79,100,4.94,overcast clouds
274,Mozarlandia,BR,-14.7447,-50.5706,74.35,94,100,4.21,overcast clouds
275,Vangaindrano,MG,-23.35,47.6,73.17,89,11,5.26,few clouds
276,Komsomolskiy,UZ,40.4272,71.7189,38.55,69,100,6.91,mist
277,Tautira,PF,-17.7333,-149.15,87.82,72,99,13.49,overcast clouds
278,Los Lunas,US,34.8062,-106.7334,55.26,27,100,0.38,overcast clouds
279,Hovd,MN,48.0056,91.6419,6.85,76,16,5.66,few clouds
280,Porto Torres,IT,40.835,8.3972,44.78,75,80,4.88,broken clouds
281,Ternate,ID,0.8,127.4,81.43,81,100,8.32,overcast clouds
282,Kahului,US,20.8947,-156.47,76.26,83,40,18.41,scattered clouds
283,Ruteng,ID,-8.6136,120.4721,75.18,63,100,2.51,overcast clouds
284,Richards Bay,ZA,-28.783,32.0377,68.34,95,88,4.14,light rain
285,Coahuayana,MX,18.7333,-103.6833,72.23,85,0,1.41,clear sky
286,San Policarpo,PH,12.1791,125.5072,80.55,74,100,9.98,overcast clouds
287,Malvern,US,34.3623,-92.813,47.12,74,0,3.36,clear sky
288,Alice Springs,AU,-23.7,133.8833,89.15,29,88,10.36,light rain
289,Tiksi,RU,71.6872,128.8694,-13.49,96,100,7.65,overcast clouds
290,Salinas,US,36.6777,-121.6555,61.16,84,90,11.5,light rain
291,Euclides Da Cunha,BR,-10.5075,-39.0158,71.13,85,47,2.62,scattered clouds
292,Souillac,MU,-20.5167,57.5167,79.36,94,75,8.05,broken clouds
293,Smithers,CA,54.7804,-127.1743,8.92,92,20,2.3,few clouds
294,Henties Bay,NA,-22.116,14.2845,63.86,85,0,5.37,clear sky
295,Kieta,PG,-6.2167,155.6333,85.41,75,100,1.66,moderate rain
296,Bousso,TD,10.4795,16.7117,74.03,21,85,7.4,overcast clouds
297,Balikpapan,ID,-1.2675,116.8289,72.59,94,20,0.0,few clouds
298,Gat,IL,31.61,34.7642,55.4,100,100,7.16,overcast clouds
299,Raga,SS,8.4596,25.678,73.02,22,95,8.3,overcast clouds
300,Keti Bandar,PK,24.1447,67.4497,72.16,79,5,9.95,clear sky
301,Bengkulu,ID,-3.8004,102.2655,77.09,87,99,7.49,overcast clouds
302,Iqaluit,CA,63.7506,-68.5145,-8.37,96,67,3.4,broken clouds
303,Nokaneng,BW,-19.6667,22.2667,69.66,77,99,7.99,overcast clouds
304,Provideniya,RU,64.3833,-173.3,5.36,85,90,29.08,light snow
305,Ankang,CN,32.68,109.0172,46.18,64,100,1.72,overcast clouds
306,Georgetown,MY,5.4112,100.3354,78.89,88,20,1.99,few clouds
307,Sola,VU,-13.8833,167.55,84.87,79,75,0.0,broken clouds
308,Kamenka,RU,51.3223,42.7678,-0.15,97,93,7.31,overcast clouds
309,San Patricio,US,28.017,-97.5169,69.78,80,0,9.13,clear sky
